zyshih           15807   0.0  0.1 1509206400   8768 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15772   0.0  0.1 1509206912   9328 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15742   0.0  0.1 1509206064   8752 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15720   0.0  0.1 1509206480   9376 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15709   0.0  0.1 1509206432   8880 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15698   0.0  0.1 1509206848   9104 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15661   0.0  0.1 1509206624   9280 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15642   0.0  0.1 1509206416   8832 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15575   0.0  0.1 1509206800   9072 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15547   0.0  0.1 1509206688   8912 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15515   0.0  0.1 1509205984   8672 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15487   0.0  0.1 1509206048   8528 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15457   0.0  0.1 1509206624   8752 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15429   0.0  0.1 1509205920   9136 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15401   0.0  0.1 1509206048   8736 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15373   0.0  0.1 1509206192   9232 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15344   0.0  0.1 1509206256   9232 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15316   0.0  0.1 1509206384   9488 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15284   0.0  0.1 1509206288   9040 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15256   0.0  0.1 1509206480   8800 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           15214   0.0  0.1 1509206688   8832 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19067   0.0  0.2 1509206032  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19037   0.0  0.2 1509206704  27088 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           19006   0.0  0.2 1509206304  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18976   0.0  0.2 1509206704  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18946   0.0  0.2 1509206192  27056 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18916   0.0  0.2 1509206496  27056 s023  S+   12:31上午   0:00.02 /Users/zyshih/.cabal/bin/agda --interaction
zyshih           18886   0.0  0.2 1509205984  27104 s023  S+   12:31上午   0:00.01 /Users/zyshih/.cabal/bin/agda --interaction
